Date,tx_count,total_fees,active_addresses,is_outlier_tx_count,is_outlier_total_fees,is_outlier_active_addresses,any_outlier
2025-03-03,304,0.15631165,608,True,False,True,True
2025-03-04,331,0.17471867,662,False,False,False,False
2025-03-05,381,0.19301073,762,False,False,False,False
2025-03-06,327,0.17122531,654,False,False,False,False
2025-03-07,326,0.16369072,652,False,False,False,False
2025-03-08,375,0.19967183,750,False,False,False,False
2025-03-09,377,0.19227776,754,False,False,False,False
2025-03-10,352,0.1823862,704,False,False,False,False
2025-03-11,351,0.1861203,702,False,False,False,False
2025-03-12,366,0.18881715,732,False,False,False,False
2025-03-13,352,0.18228187,704,False,False,False,False
2025-03-14,361,0.18529807,722,False,False,False,False
2025-03-15,323,0.1548936,646,False,False,False,False
2025-03-16,348,0.1786602,696,False,False,False,False
2025-03-17,353,0.18151142,706,False,False,False,False
2025-03-18,354,0.18251964,708,False,False,False,False
2025-03-19,362,0.1905901,724,False,False,False,False
2025-03-20,347,0.17587249,694,False,False,False,False
2025-03-21,351,0.18591803,702,False,False,False,False
2025-03-22,356,0.18183324,712,False,False,False,False
2025-03-23,315,0.16486246,630,False,False,False,False
2025-03-24,361,0.17656623,722,False,False,False,False
2025-03-25,398,0.19027562,796,False,False,False,False
2025-03-26,369,0.20341437,738,False,False,False,False
2025-03-27,381,0.19093069,762,False,False,False,False
2025-03-28,366,0.18168378,732,False,False,False,False
2025-03-29,330,0.16751844,660,False,False,False,False
2025-03-30,379,0.19404204,758,False,False,False,False
2025-03-31,363,0.17521926,726,False,False,False,False
2025-04-01,370,0.19306284,740,False,False,False,False
2025-04-02,346,0.17092841,692,False,False,False,False
2025-04-03,361,0.18529454,722,False,False,False,False
2025-04-04,372,0.18082818,744,False,False,False,False
2025-04-05,378,0.18897368,756,False,False,False,False
2025-04-06,329,0.16900011,658,False,False,False,False
2025-04-07,362,0.17666213,724,False,False,False,False
2025-04-08,356,0.1840779599999999,712,False,False,False,False
2025-04-09,361,0.19032282,722,False,False,False,False
2025-04-10,416,0.2114338,832,True,False,True,True
2025-04-11,390,0.20615631,780,False,False,False,False
2025-04-12,361,0.1740731,722,False,False,False,False
2025-04-13,349,0.17344717,698,False,False,False,False
2025-04-14,342,0.17275305,684,False,False,False,False
2025-04-15,386,0.19619015,772,False,False,False,False
2025-04-16,395,0.19713363,790,False,False,False,False
2025-04-17,366,0.18706314,732,False,False,False,False
2025-04-18,351,0.17672717,702,False,False,False,False
2025-04-19,352,0.17602456,704,False,False,False,False
2025-04-20,353,0.17811474,706,False,False,False,False
2025-04-21,347,0.18368236,694,False,False,False,False
2025-04-22,380,0.1961601,760,False,False,False,False
2025-04-23,373,0.18392868,746,False,False,False,False
2025-04-24,380,0.19644804,760,False,False,False,False
2025-04-25,370,0.1869245,740,False,False,False,False
2025-04-26,386,0.19702881,772,False,False,False,False
2025-04-27,360,0.18269366,720,False,False,False,False
2025-04-28,360,0.18360108,720,False,False,False,False
2025-04-29,336,0.16745744,672,False,False,False,False
2025-04-30,314,0.15894387,628,False,False,False,False
2025-05-01,325,0.16776084,650,False,False,False,False
2025-05-02,364,0.18283044,728,False,False,False,False
2025-05-03,356,0.1775919,712,False,False,False,False
2025-05-04,374,0.18515524,748,False,False,False,False
2025-05-05,362,0.18441563,724,False,False,False,False
2025-05-06,373,0.19627944,746,False,False,False,False
2025-05-07,399,0.20185277,798,False,False,False,False
2025-05-08,366,0.17606344,732,False,False,False,False
2025-05-09,348,0.18006736,696,False,False,False,False
2025-05-10,359,0.18792245,718,False,False,False,False
2025-05-11,201,0.09451955,402,True,True,True,True
